SECCION,POP,ESPECIE,INDIVIDUO,DAP,CLOROFILA,PH,AFE,GROSOR,AGUA,DENS_ESTOM,LONG_ESTOM,TANINOS,Ct,Nt,Pt
Lobatae,UME,Q. castanea,1,42.653,47.5,5.07,65.521,0.196,35.98,421.72,16.49,103.157,413.735,45.244,2.371
Lobatae,UME,Q. castanea,2,26.101,47.03,5.18,64.538,0.207,30.03,376.48,14.4,115.411,413.735,45.244,2.371
Lobatae,UME,Q. castanea,3,47.746,48.6,4.68,61.491,0.231,32.48,268.5,16.37,76.501,413.735,45.244,2.371
Lobatae,UME,Q. castanea,4,30.558,39.63,5.5,55.751,0.285,35.02,362.23,17.54,,413.735,45.244,2.371
Lobatae,UME,Q. castanea,5,51.566,48.53,5.31,63.771,0.236,32.89,397.54,14.04,,413.735,45.244,2.371
Lobatae,UME,Q. castanea,6,22.918,44.53,5.11,54.167,0.292,,,,,413.735,45.244,2.371
Lobatae,UME,Q. castanea,7,44.882,40.43,4.9,64.865,0.232,,,,,413.735,45.244,2.371
Lobatae,UME,Q. castanea,8,28.966,49.33,5.15,65.527,0.196,,,,,413.735,45.244,2.371
Lobatae,UME,Q. castanea,9,48.065,41.53,5.43,56.446,0.236,,,,,413.735,45.244,2.371
Lobatae,UME,Q. castanea,10,29.603,45.17,4.76,57.935,0.265,,,,,413.735,45.244,2.371
Quercus,UME,Q. obtusata,1,42.335,49.23,5.8,79.126,0.073,42.75,1074,13.14,77.641,458.707,39.923,2.424
Quercus,UME,Q. obtusata,2,35.014,48.57,4.6,81.066,0.061,36.75,697.52,14.84,148.816,458.707,39.923,2.424
Quercus,UME,Q. obtusata,3,36.287,45,5.86,69.259,0.078,40.43,935.37,14.14,123.954,458.707,39.923,2.424
Quercus,UME,Q. obtusata,4,42.653,43.07,6.56,61.351,0.103,42.73,909.11,16,,458.707,39.923,2.424
Quercus,UME,Q. obtusata,5,29.603,45.17,5.61,65.124,0.113,37.08,824.47,16.23,,458.707,39.923,2.424
Quercus,UME,Q. obtusata,6,44.245,39.73,5.56,72.922,0.086,,,,,458.707,39.923,2.424
Quercus,UME,Q. obtusata,7,50.929,49.27,5.47,60.367,0.096,,,,,458.707,39.923,2.424
Quercus,UME,Q. obtusata,8,38.834,52.23,4.28,59.348,0.114,,,,,458.707,39.923,2.424
Quercus,UME,Q. obtusata,9,51.884,45.1,4.5,67.578,0.072,,,,,458.707,39.923,2.424
Quercus,UME,Q. obtusata,10,42.972,48.1,5.94,75.251,0.081,,,,,458.707,39.923,2.424
Lobatae,ATE,Q. castanea,1,27.056,37.3,4.49,79.184,0.112,42.73,399.83,17.96,176.234,,,
Lobatae,ATE,Q. castanea,2,22.918,43.97,4.97,77.423,0.124,39.9,302.06,18.96,164.989,,,
Lobatae,ATE,Q. castanea,3,33.422,47.43,4.62,66.027,0.14,38.51,345.84,18.73,111.349,,,
Lobatae,ATE,Q. castanea,4,29.921,46.03,4.76,96.846,0.117,34.36,,,,,,
Lobatae,ATE,Q. castanea,5,28.966,52.23,4.87,70.513,0.136,38.48,,,,,,
Lobatae,ATE,Q. castanea,6,14.006,53.93,4.45,58.26,0.143,,,,,,,
Lobatae,ATE,Q. castanea,7,20.69,47.7,4.71,91.048,0.095,,,,,,,
