SECCION,POP,ESPECIE,RIQUEZA,ALT,DAP,CLOROFILA,PH,AFE,GROSOR,AGUA,DENS_ESTOM,LONG_ESTOM,TANINOS,Ct,Nt,Pt,C:N,C:P,N:P,COORD Y,COORD X,BIO1,BIO2,BIO3,BIO15
Lobatae,UME,Q. castanea,2,2120,37.30583142,45.23,5.11,61.001,0.237,33.28,365.294,15.766,98.356,413.735,45.244,2.371,9.145,174.48,19.08,19.54932,-101.262,16.9916,15.8448,66.56013,97.0428
Quercus,UME,Q. obtusata,2,,41.47568118,46.93,5.41,69.139,0.087,39.948,888.095,14.87,116.803,458.707,39.923,2.424,11.49,189.255,16.471,19.549308,-101.2612,16.9916,15.8448,66.56013,97.0428
Quercus,ATE,Q. obtusata,3,,19.20465156,44,5.05,91.245,0.099,41.471,670.668,17.706,61.171,423.79,49.698,2.783,8.527,152.305,17.861,19.618767,-101.2003,15.7365,15.10199,66.71093,97.29178
Quercus,ATE,Q. deserticola,3,,21.43281555,47.79,4.28,91.616,0.121,36.842,628.642,17.785,101.797,433.443,59.855,3.41,7.242,127.109,17.553,19.618761,-101.2004,15.7365,15.10199,66.71093,97.29178
Lobatae,REM,Q. calophylla,5,2590,64.71224854,49.34,5.3,82.762,0.117,39.535,533.815,17.413,83.808,481.213,46.073,2.975,10.445,161.752,15.487,19.619122,-101.34,13.9005,15.00214,67.34956,98.57998
Quercus,REM,Q. obtusata,5,,39.15202445,44.7,4.95,74.17,0.129,37.246,899.477,14.466,174.364,465.726,55.654,3.538,8.368,131.654,15.733,19.619136,-101.3404,13.9005,15.00214,67.34956,98.57998
Lobatae,REM,Q. crassipes,5,,74.17366947,53.86,5.82,70.147,0.118,36.888,365.686,21.251,72.251,499.399,46.463,3.293,10.748,151.678,14.112,19.61955,-101.3411,13.9005,15.00214,67.34956,98.57998
Lobatae,REM,Q. castanea,5,,36.89202954,46.65,5.52,65.81,0.104,31.514,373.559,16.799,100.135,464.539,46.861,2.808,9.913,165.464,16.691,19.618805,-101.3399,13.9005,15.00214,67.34956,98.57998
Quercus,REM,Q. deserticola,5,,24.63712758,44.67,5.41,80.122,0.171,24.658,683.801,17.529,113.24,462.051,53.215,3.363,8.683,137.413,15.826,19.616541,-101.3343,13.801,15.05659,67.2896,97.64911
Quercus,NOB,Q. glaucoides,1,1992,31.83091418,40.46,5.74,100.339,0.137,42.414,516.28,18.083,131.379,444.644,53.078,3.641,8.377,122.113,14.577,19.656323,-101.2947,17.5073,15.88633,65.45771,98.67704
Quercus,IRA,Q. obtusata,3,2390,25.71937866,44.88,5.43,66.416,0.152,35.763,812.798,16.037,139.693,443.95,46.431,3.145,9.561,141.161,14.764,19.637225,-101.3927,15.2035,15.40194,66.41768,98.08684
Lobatae,IRA,Q. castanea,3,,50.65752766,48.25,4.89,61.087,0.194,30.117,336.347,16.939,82.838,455.825,48.578,2.85,9.383,159.939,17.045,19.63729,-101.393,15.2035,15.40194,66.41768,98.08684
Lobatae,IRA,Q. calophylla,3,,30.02716238,52.75,6.16,70.745,0.084,39.384,542.005,16.024,49.571,425.284,49.545,2.889,8.584,147.221,17.151,19.636998,-101.3926,15.2035,15.40194,66.41768,98.08684
Lobatae,CBU,Q. laurina,2,3100,32.56302521,44.15,5.04,69.122,0.078,38.902,477.464,19.937,163.931,495.892,37.374,1.79,13.268,277.035,20.879,19.439983,-101.509,11.7082,13.87232,68.1945,96.58125
Quercus,CBU,Q. rugosa,2,,29.11657754,46.62,5.14,63.458,0.167,40.244,682.925,15.075,115.304,481.729,30.935,2.193,15.572,219.717,14.109,19.434723,-101.508,10.5086,13.47158,68.2038,94.53182
Lobatae,SJT,Q. castanea,2,2200,9.581105169,48.11,4.99,72.558,0.098,38.134,332.999,19.45,105.88,506.901,38.453,1.774,13.183,285.779,21.679,19.651187,-101.1155,16.9772,15.11749,64.66496,97.63831
Quercus,SJT,Q. obtusata,2,,10.82251082,46.66,5.58,87.584,0.126,39.531,822.429,15.874,104.395,438.697,44.426,2.039,9.875,215.179,21.791,19.651219,-101.1154,16.9772,15.11749,64.66496,97.63831
Quercus,SMM,Q. obtusata,3,2310,20.53093965,44.41,5.72,75.993,0.166,33.912,691.973,16.352,152.013,449.863,46.758,2.419,9.621,185.99,19.331,19.607332,-101.1478,15.2966,15.18094,66.8374,98.32265
Lobatae,SMM,Q. castanea,3,,22.02699262,47.79,5.81,63.072,0.187,29.455,364.665,16.018,88.597,491.183,32.145,1.595,15.28,307.952,20.154,19.607538,-101.1477,15.2966,15.18094,66.8374,98.32265
Lobatae,SMM,Q. calophylla,3,,25.46473135,47.42,6.12,72.704,0.127,36.309,424.275,20.484,78.179,426.926,41.224,1.383,10.356,308.807,29.818,19.608734,-101.146,15.9037,15.43317,65.97774,98.93572
Lobatae,CHI,Q. crassipes,3,2440,60.54807741,52.16,5.55,56.46,0.182,33.25,405.086,20.146,148.667,489.357,39.945,2.716,12.251,180.159,14.706,19.754739,-101.2699,15.0381,15.06503,65.70284,97.43996
