SITIO,SECCION,ESPECIE,RIQUEZASPP,COORD Y,COORD X,ALTITUD,BIO19,BIO18,BIO17,BIO16,BIO15,BIO14,BIO13,BIO12,BIO11,BIO10,BIO9,BIO8,BIO7,BIO6,BIO5,BIO4,BIO3,BIO2,BIO1,DAP,CLOROFILA,PH,AFE,GROSOR,AGUA,DENS_ESTOM,LONG_ESTOM,TANINOS,Ct,Nt,Pt
UME,Lobatae,Q. castanea,2,19.54932,-101.26199,2120,39.19841,230.7084,31.96534,571.6662,97.0428,6.42651,209.05446,941.04919,14.20498,18.95764,16.83071,17.33785,22.88854,4.28941,28.29128,195.46143,66.56013,15.8448,16.99157,37.30583142,45.23,5.11,61.001,0.237,33.28,365.294,15.766,98.356,413.735,45.244,2.371
UME,Quercus,Q. obtusata,2,19.549308,-101.261208,2120,39.19841,230.7084,31.96534,571.6662,97.0428,6.42651,209.05446,941.04919,14.20498,18.95764,16.83071,17.33785,22.88854,4.28941,28.29128,195.46143,66.56013,15.8448,16.99157,41.47568118,46.93,5.41,69.139,0.087,39.948,888.095,14.87,116.803,458.707,39.923,2.424
ATE,Quercus,Q. obtusata,3,19.618767,-101.200262,2270,44.34501,241.6563,34.56879,624.08447,97.29178,7.55556,222.2934,1022.97375,13.23486,18.04939,14.96421,16.29776,22.81146,4.44659,27.4489,181.90463,66.71093,15.10199,15.73648,19.20465156,44,5.05,91.245,0.099,41.471,670.668,17.706,61.171,423.79,49.698,2.783
ATE,Quercus,Q. deserticola,3,19.618761,-101.200361,2270,44.34501,241.6563,34.56879,624.08447,97.29178,7.55556,222.2934,1022.97375,13.23486,18.04939,14.96421,16.29776,22.81146,4.44659,27.4489,181.90463,66.71093,15.10199,15.73648,21.43281555,47.79,4.28,91.616,0.121,36.842,628.642,17.785,101.797,433.443,59.855,3.41
REM,Lobatae,Q. calophylla,5,19.619122,-101.340027,2590,51.15572,269.31598,38.83516,719.59259,98.57998,8.63833,259.88904,1170.979,11.29227,15.90593,12.75413,14.30906,22.06537,1.99558,24.14696,182.27719,67.34956,15.00214,13.90051,64.71224854,49.34,5.3,82.762,0.117,39.535,533.815,17.413,83.808,481.213,46.073,2.975
REM,Quercus,Q. obtusata,5,19.619136,-101.340357,2590,51.15572,269.31598,38.83516,719.59259,98.57998,8.63833,259.88904,1170.979,11.29227,15.90593,12.75413,14.30906,22.06537,1.99558,24.14696,182.27719,67.34956,15.00214,13.90051,39.15202445,44.7,4.95,74.17,0.129,37.246,899.477,14.466,174.364,465.726,55.654,3.538
REM,Lobatae,Q. crassipes,5,19.61955,-101.341134,2590,51.15572,269.31598,38.83516,719.59259,98.57998,8.63833,259.88904,1170.979,11.29227,15.90593,12.75413,14.30906,22.06537,1.99558,24.14696,182.27719,67.34956,15.00214,13.90051,74.17366947,53.86,5.82,70.147,0.118,36.888,365.686,21.251,72.251,499.399,46.463,3.293
REM,Lobatae,Q. castanea,5,19.618805,-101.339871,2590,51.15572,269.31598,38.83516,719.59259,98.57998,8.63833,259.88904,1170.979,11.29227,15.90593,12.75413,14.30906,22.06537,1.99558,24.14696,182.27719,67.34956,15.00214,13.90051,36.89202954,46.65,5.52,65.81,0.104,31.514,373.559,16.799,100.135,464.539,46.861,2.808
REM,Quercus,Q. deserticola,5,19.616541,-101.334287,2590,51.0342,272.62512,39.87911,729.77863,97.64911,8.69256,263.1037,1185.32581,11.07274,14.92044,12.74306,14.33284,22.15028,1.92974,24.16437,182.17897,67.2896,15.05659,13.80104,24.63712758,44.67,5.41,80.122,0.171,24.658,683.801,17.529,113.24,462.051,53.215,3.363
NOB,Quercus,Q. glaucoides,1,19.656323,-101.2947,1992,31.92261,197.19434,29.46088,489.27045,98.67704,6.49808,179.88974,798.92902,14.55287,19.9989,16.89445,18.33896,23.8584,4.26526,29.22896,210.95363,65.45771,15.88633,17.50731,31.83091418,40.46,5.74,100.339,0.137,42.414,516.28,18.083,131.379,444.644,53.078,3.641
